City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Yar-Sale,RU,2022-07-28 19:51:31,66.8333,70.8333,62.08,63,96,5.64,overcast clouds
149,Lebu,CL,2022-07-28 19:46:49,-37.6167,-73.65,52.43,78,0,14.45,clear sky
150,Okha,RU,2022-07-28 19:51:31,53.5739,142.9478,55.29,92,59,7.43,broken clouds
151,Benin,BJ,2022-07-28 19:51:31,9.5,2.25,71.94,95,100,5.61,moderate rain
152,Kyren,RU,2022-07-28 19:51:32,51.6828,102.1408,53.2,91,55,1.92,broken clouds
153,Killeen,US,2022-07-28 19:47:38,31.1171,-97.7278,100.26,33,40,13.8,scattered clouds
154,Coahuayana,MX,2022-07-28 19:51:32,18.7333,-103.6833,88.9,60,51,6.69,broken clouds
155,Tahe,CN,2022-07-28 19:51:33,52.3333,124.7333,60.96,98,100,3.4,overcast clouds
156,Praia,CV,2022-07-28 19:50:12,14.9215,-23.5087,90.14,31,0,9.22,clear sky
157,Kununurra,AU,2022-07-28 19:51:33,-15.7667,128.7333,51.78,87,19,2.3,few clouds
158,Yuxia,CN,2022-07-28 19:51:33,34.0615,108.6291,74.01,66,1,4.65,clear sky
159,Marsh Harbour,BS,2022-07-28 19:51:34,26.5412,-77.0636,83.53,70,19,13.78,few clouds
160,Pisco,PE,2022-07-28 19:48:15,-13.7,-76.2167,64.45,72,75,9.22,broken clouds
161,Chara,RU,2022-07-28 19:51:34,56.9064,118.2631,63.34,71,100,2.17,overcast clouds
162,Kaoma,ZM,2022-07-28 19:51:34,-14.7833,24.8,54.54,46,26,5.66,scattered clouds
163,Hirara,JP,2022-07-28 19:51:35,24.8,125.2833,84.16,73,19,3.96,few clouds
164,Namibe,AO,2022-07-28 19:51:35,-15.1961,12.1522,61.75,85,11,8.1,few clouds
165,Cravo Norte,CO,2022-07-28 19:51:35,6.3017,-70.2041,73.72,93,100,7.07,overcast clouds
166,Victoria,HK,2022-07-28 19:49:05,22.2855,114.1577,87.33,79,100,4.0,overcast clouds
167,Stromness,GB,2022-07-28 19:51:00,58.965,-3.296,54.88,86,71,11.01,broken clouds
168,Vastseliina,EE,2022-07-28 19:51:36,57.7303,27.2932,54.32,98,63,5.14,broken clouds
169,Mahebourg,MU,2022-07-28 19:50:01,-20.4081,57.7,70.09,78,75,6.91,broken clouds
